id,log2r10,log2r20,log2r30,log2r40,log2r50,log2r60,TF,ethylene,auxin,cellwall,ATP
AT1G79700,0.120879726286,-0.319729417849,0.0579535203863,0.392249496946,0.490198628359,1.14944308421,1,0,0,0,6
AT1G79720,0.259206340232,-0.0965740134148,-0.276527916606,-0.629796005399,-0.329533256293,-0.0946266606351,0,0,0,0,4
AT1G79750,0.327019687032,0.322384511954,0.0470993241519,0.546210663268,0.883795699433,0.920763931699,0,0,0,0,5
AT1G79840,0.163994023608,-0.0064361483098,-0.605149549722,-0.647478426962,-0.195865775485,0.223662587616,1,0,0,0,4
AT1G79860,1.09979559519,0.844994418393,1.2617841284,1.64594223963,2.61288458575,2.84816352838,0,0,0,0,6
AT1G80090,-0.751637077747,0.343783325985,-0.0271231695543,-1.74529125952,-1.37965771133,-1.71254510645,0,0,0,0,4
AT1G80120,0.284727638792,0.144697346159,0.066764680107,-0.129174160482,-0.655771057691,-1.05521398692,0,0,0,0,6
AT1G80130,0.206100741546,-0.0340680834883,0.303876846574,1.29494009815,0.910417224094,0.736293258129,0,0,0,0,4
AT1G80160,-0.363040463774,-0.0231278631733,-0.150328634639,0.535654815636,1.25984881456,2.49563433965,0,0,0,0,5
AT1G80370,-0.0655309126929,-0.269589173442,-0.471123808471,-0.532904186677,-0.0877715609468,-0.655328411193,0,0,0,0,6
AT1G80380,0.167691550626,0.0155370497483,-0.109200337531,0.0573359272984,0.207201671217,0.59484496054,0,0,0,0,6
AT1G80440,0.216469486652,0.538449347495,0.0863753741317,0.398755275808,0.808178945959,1.57429383332,0,0,0,0,5
AT1G80530,0.102134021438,0.144264946943,0.459016608979,0.944788701807,0.782135041609,0.429206191589,0,0,0,0,4
AT1G80570,-0.193939367088,0.0189139713641,-0.0901729952422,-0.142743808491,0.201294811873,0.775400175666,0,0,0,0,6
AT1G80760,0.218895909305,0.353717940662,0.792572372113,1.19838984896,1.29531007244,1.67617191678,0,0,0,0,4
AT1G80820,0.0499011850394,-0.472181349177,-0.72655447855,-1.11678603112,-1.45314633455,-1.44064055248,0,0,0,0,4
AT1G80830,0.082090864194,0.105760645152,0.383581506737,0.329996499612,0.712822414169,0.461112245817,0,0,0,0,5
AT1G80920,-0.241218258282,-0.286725588359,-0.130327088906,-0.165581133483,0.123257069744,1.03357489977,0,0,0,0,6
AT2G01190,0.415323350735,0.273015366408,-0.0101633727004,0.30894829793,0.736614799026,0.98270177296,0,0,0,0,5
AT2G01290,-0.0544805914723,-0.0278694319217,-0.108581231181,0.0296872059775,-0.102625706335,-0.626446637253,0,0,0,0,6
AT2G01300,0.993234575635,0.911028730934,0.587774019824,0.311461996592,0.542150534987,0.677375903632,0,0,0,0,1
AT2G01340,0.141430232884,-0.0493950456885,-0.315481875717,-0.647741007022,-1.00462443825,-0.60654098475,0,0,0,0,5
AT2G01530,-0.0666362075716,-0.0459690982723,-0.0155346612443,0.510196500773,0.849614103621,1.07729269627,0,0,0,0,5
AT2G01580,-0.0104388917965,-0.346052527617,-0.946878516543,-1.64770387077,-2.25688260891,-2.52035987416,0,0,0,0,4
AT2G01610,-0.0448185703426,0.258025527454,-0.651659519637,-0.992437825733,-0.847986312577,-1.29444615225,0,0,0,0,3
AT2G01770,-0.0998108071727,-0.0477051852495,-0.894856139305,-1.84340474627,-1.58825957989,-1.89540979758,0,0,0,0,3
AT2G01890,-0.0306465889434,-0.635402305639,-0.451142906525,-0.619351867482,-0.455044625367,-0.0450880770511,0,0,0,0,2
AT2G01900,-0.0681849298679,-0.0475036745917,0.859115406719,1.04195178147,0.63265307619,1.39765920506,0,0,0,0,6
AT2G02120,-0.149945866966,0.915389102949,0.322568361917,-0.283837361717,-1.0819799804,-0.776366098821,0,0,0,0,5
AT2G02680,-0.0729084066334,-0.318715420495,-0.736940925122,-1.07650668625,-0.406596574567,0.0584145325586,0,0,0,0,3
AT2G02930,0.181275494901,0.383664231024,0.689687060574,1.81828457295,2.90128916641,2.7203016678,0,0,0,0,5
AT2G02950,0.0580349513826,-0.238304223567,-0.214330827066,-0.530405057827,-0.85273494362,0.0373578290261,0,0,0,0,5
AT2G03090,-0.26005766875,-0.944819052807,-1.12578460632,-1.33585540946,-1.38098766101,-1.93522454609,0,0,0,1,2
AT2G03200,0.0251458167071,-0.335672146395,-0.419184285312,-0.815190944535,-1.76221757388,-2.48938748178,0,0,0,0,4
AT2G03720,-0.59533596277,-0.40978387579,0.478152603781,0.233109266344,1.24395904794,1.64086310233,0,0,0,0,6
AT2G03790,1.82912240538,1.5293153424,2.49279359911,2.18294436341,1.1616823404,2.39958776111,0,0,0,0,3
AT2G04066,0.956884470034,0.547670701765,0.366241079286,0.689786019585,0.65366726814,1.74424562571,0,0,0,0,6
AT2G04080,-0.142333363721,0.202055285259,-0.00123038187883,0.0615015220664,0.20472563451,0.792938238255,0,0,0,0,6
AT2G04570,0.0945144657471,-0.0882843306567,-0.218379669206,-0.868927488396,-0.727259401157,-0.335764594134,0,0,0,0,4
AT2G04795,-0.521957441538,-0.253890219478,0.0177781713454,0.537562332042,0.911915651505,1.12885951011,0,0,0,0,5
AT2G04800,-0.328777348985,-0.0197133060769,0.0348386640511,0.708657279023,0.902913102027,0.892407994634,0,0,0,0,4
AT2G04890,-0.035783271903,0.0851076945784,0.127788602667,0.129285463306,0.398696010226,0.689419735278,1,0,0,0,6
AT2G05320,-0.32764946534,-0.691104357479,-0.6210692678,-0.379328921622,-0.0724265191754,0.0923093998217,0,0,0,0,2
AT2G05440,0.119494369101,-1.3136047516,-1.28481948592,0.522388915058,1.27940329582,1.67540641338,0,0,0,0,2
AT2G05510,0.182495031544,-0.342976253965,-0.567497240052,0.885893709124,3.05874985715,4.20404198011,0,0,0,0,5
AT2G05518,-0.377636226535,-1.16723090328,-0.532446190226,-0.453725150909,-0.379431243752,-0.337447473397,0,0,0,0,2
AT2G05520,0.0636087571791,-0.655910249835,-0.570951677129,0.279906616626,-0.00909786636909,0.643600816862,0,0,0,0,2
AT2G05812,-0.0306934884432,-0.00507440677565,0.0566147852641,0.306317654947,0.390629064707,0.662388083977,0,0,0,0,6
AT2G05910,0.134790259645,-0.290035634038,0.31257563342,1.21269293363,2.24987832577,1.67002895334,0,0,0,0,6
AT2G05914,0.134830496289,0.0524362368949,0.100172061839,-0.103589073184,-0.962606903129,-1.43482231504,0,0,0,0,6
AT2G07748,-0.373351732643,-0.156823836065,0.266235048931,-0.565370733035,-0.550398799651,-1.2135736967,0,0,0,0,6
AT2G07669,0.0232504054516,-0.568109299086,-0.0435051688416,-0.452346062584,-1.07213315318,-0.724235828346,0,0,0,0,5
AT2G07758,-0.394663006253,-0.91265603987,0.991135412313,0.261295816003,-0.982369196894,0.738132750589,0,0,0,0,3
AT2G09970,-0.658032173166,-1.18648420039,-0.898872342379,-0.904818559522,-1.05809143471,-0.542426868468,0,0,0,0,2
AT2G10410,0.0482085732368,-0.108425136861,-0.467688243549,0.507565382049,0.55422177426,0.67677564419,0,0,0,0,6
